===================================================================
	element-data-name					Element Display Name
zosConnectServiceRestClient    		z/OS Connect REST Client
zosConnectServiceRestClientBasicAuth    z/OS Connect Rest Client Basic Authentication
auditInterceptor    				z/OS Connect SMF Audit Interceptor
zosLogging    						z/OS Logging



# ========================================================================
#
# Sub-element
#

#User Registry Federation > Primary Realm
primaryRealm			Primary Realm

#WS-Security Provider > SAML Token Properties
samlToken				SAML Token Properties

# > SAML Token Properties > The audience restrictions
audienceRestrictions	The audience restrictions
